"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Currently hospitalized","Currently in ICU","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"592",2021-10-18,8046,5756872,529,316816,974,210,3005,12,298,6.86
"593",2021-10-19,12133,5769005,809,317625,938,200,3015,10,428,6.83
"594",2021-10-20,11912,5780917,770,318395,912,195,3025,10,360,6.72
"595",2021-10-21,10750,5791667,663,319058,894,186,3032,7,319,6.23
"596",2021-10-22,10806,5802473,705,319763,863,186,3042,10,323,6.75
"597",2021-10-23,8705,5811178,508,320271,834,190,3055,13,260,6.19
"598",2021-10-24,6437,5817615,366,320637,829,175,3065,10,178,6.04
"599",2021-10-25,7798,5825413,456,321093,841,173,3073,8,240,6.09
"600",2021-10-26,11371,5836784,628,321721,816,173,3079,6,319,5.71
"601",2021-10-27,10291,5847075,544,322265,790,174,3092,13,269,5.47
"602",2021-10-28,10516,5857591,606,322871,772,168,3098,6,277,6.06
"603",2021-10-29,9399,5866990,531,323402,745,161,3107,9,284,5.95
"604",2021-10-30,8254,5875244,331,323733,707,154,3118,11,165,4.16
"605",2021-10-31,6725,5881969,339,324072,698,150,3123,5,153,5.25
"606",2021-11-01,7547,5889516,325,324397,703,154,3128,5,161,4.56
"607",2021-11-02,10363,5899879,495,324892,704,145,3134,6,260,4.97
"608",2021-11-03,12411,5912290,540,325432,686,137,3139,5,269,4.57
"609",2021-11-04,11510,5923800,472,325904,666,134,3144,5,218,4.24
"610",2021-11-05,11493,5935293,586,326490,662,131,3149,5,271,5.22
"611",2021-11-06,8973,5944266,433,326923,635,132,3157,8,211,4.98
"612",2021-11-07,5521,5949787,289,327212,613,127,3161,4,138,5.22
"613",2021-11-08,8341,5958128,424,327636,614,122,3168,7,189,5.25
"614",2021-11-09,11179,5969307,502,328138,592,118,3173,5,208,4.6
"615",2021-11-10,11594,5980901,468,328606,572,108,3179,6,226,4.16
"616",2021-11-11,8849,5989750,376,328982,558,103,3186,7,169,4.38
"617",2021-11-12,7980,5997730,436,329418,547,100,3187,1,194,5.75
"618",2021-11-13,7150,6004880,357,329775,532,96,3196,9,136,5.08
"619",2021-11-14,6688,6011568,289,330064,523,95,3201,5,143,4.53
"620",2021-11-15,6428,6017996,321,330385,528,96,3205,4,174,5.13
"621",2021-11-16,9745,6027741,415,330800,521,93,3207,2,182,4.39
"622",2021-11-17,8968,6036709,385,331185,509,86,3209,2,199,4.46
"623",2021-11-18,8688,6045397,417,331602,498,85,3213,4,203,4.98
"624",2021-11-19,9454,6054851,467,332069,487,87,3218,5,213,5.2
"625",2021-11-20,7621,6062472,379,332448,467,83,3220,2,175,5.2
"626",2021-11-21,4839,6067311,270,332718,474,90,3228,8,137,5.93
"627",2021-11-22,5326,6072637,271,332989,485,87,3230,2,144,5.43
"628",2021-11-23,10437,6083074,473,333462,479,89,3231,1,319,4.67
"629",2021-11-24,9619,6092693,395,333857,471,90,3234,3,340,4.3
"630",2021-11-25,8714,6101407,361,334218,470,82,3238,4,319,4.3
"631",2021-11-26,7489,6108896,325,334543,465,76,3243,5,273,4.65
"632",2021-11-27,6631,6115527,251,334794,448,71,3245,2,224,3.92
"633",2021-11-28,5058,6120585,229,335023,441,71,3249,4,193,4.82
"634",2021-11-29,5359,6125944,232,335255,446,74,3254,5,195,4.42
"635",2021-11-30,10767,6136711,433,335688,430,75,3257,3,399,4.14
"636",2021-12-01,9474,6146185,364,336052,426,72,3259,2,320,3.96
"637",2021-12-02,9706,6155891,343,336395,401,69,3261,2,303,3.62
"638",2021-12-03,8424,6164315,348,336743,393,65,3263,2,319,4.27
"639",2021-12-04,6957,6171272,247,336990,378,63,3265,2,225,3.61
"640",2021-12-05,5141,6176413,184,337174,383,66,3269,4,165,3.75
"641",2021-12-06,5491,6181904,235,337409,388,67,3271,2,205,4.46
"642",2021-12-07,10715,6192619,383,337792,380,60,3271,0,344,3.75
"643",2021-12-08,10056,6202675,354,338146,374,62,3272,1,319,3.68
"644",2021-12-09,9204,6211879,345,338491,375,64,3273,1,303,3.81
"645",2021-12-10,8538,6220417,312,338803,384,64,3275,2,277,3.87
"646",2021-12-11,6495,6226912,260,339063,368,62,3277,2,233,4.23
"647",2021-12-12,5765,6232677,200,339263,364,63,3278,1,176,3.82
"648",2021-12-13,6433,6239110,275,339538,375,64,3279,1,240,4.57
"649",2021-12-14,10116,6249226,446,339984,370,66,3283,4,380,4.63
"650",2021-12-15,9604,6258830,471,340455,360,63,3284,1,402,5.05
"651",2021-12-16,9712,6268542,553,341008,349,61,3286,2,501,5.82
"652",2021-12-17,10056,6278598,621,341629,339,60,3289,3,568,6.32
"653",2021-12-18,8711,6287309,712,342341,323,65,3292,3,639,8.33
"654",2021-12-19,6508,6293817,566,342907,331,63,3293,1,490,8.84
"655",2021-12-20,7305,6301122,791,343698,339,65,3295,2,715,11.02
"656",2021-12-21,11547,6312669,1358,345056,338,64,3297,2,1194,12.03
"657",2021-12-22,11893,6324562,1578,346634,331,63,3299,2,1421,13.55
"658",2021-12-23,11556,6336118,1978,348612,335,62,3302,3,1547,17.29
"659",2021-12-24,11466,6347584,2454,351066,323,57,3304,2,545,21.61
"660",2021-12-25,7237,6354821,1575,352641,320,54,3304,0,230,22.07
"661",2021-12-26,4074,6358895,684,353325,325,53,3307,3,234,17.45
"662",2021-12-27,6472,6365367,1383,354708,347,55,3310,3,332,21.72
"663",2021-12-28,9405,6374772,2773,357481,373,50,3313,3,532,29.92
"664",2021-12-29,13257,6388029,3976,361457,395,51,3315,2,688,30.41
"665",2021-12-30,13399,6401428,4362,365819,422,51,3318,3,756,32.92
"666",2021-12-31,12795,6414223,4355,370174,421,51,3319,1,994,34.61
"667",2022-01-01,9487,6423710,3219,373393,434,54,3322,3,733,34.5
"668",2022-01-02,7116,6430826,1965,375358,462,56,3326,4,725,28.27
"669",2022-01-03,8284,6439110,2943,378301,479,54,3330,4,794,36.3
"670",2022-01-04,12782,6451892,4697,382998,536,60,3333,3,1132,37.25
"671",2022-01-05,12379,6464271,4773,387771,564,66,3335,2,1302,39.18
"672",2022-01-06,16289,6480560,6154,393925,599,68,3338,3,1553,38.38
"673",2022-01-07,15106,6495666,6138,400063,666,72,3343,5,1308,41.58
"674",2022-01-08,16366,6512032,6151,406214,687,77,3347,4,1549,38.63
"675",2022-01-09,13979,6526011,5303,411517,732,76,3352,5,1317,38.98
"676",2022-01-10,12276,6538287,4633,416150,793,81,3362,10,1296,38.79
"677",2022-01-11,17923,6556210,6802,422952,828,84,3371,9,2311,38.68
"678",2022-01-12,14498,6570708,5884,428836,866,80,3380,9,1534,41.5
"679",2022-01-13,16711,6587419,6277,435113,918,82,3391,11,2013,38.3
"680",2022-01-14,16241,6603660,6129,441242,974,83,3400,9,1986,38.66
"681",2022-01-15,15435,6619095,5363,446605,999,92,3405,5,1680,35.61
"682",2022-01-16,11234,6630329,4150,450755,1077,99,3414,9,1393,37.93
"683",2022-01-17,9094,6639423,3504,454259,1162,104,3424,10,1921,39.23
"684",2022-01-18,10133,6649556,3791,458050,1181,111,3431,7,1698,38.32
"685",2022-01-19,11121,6660677,3656,461706,1223,113,3438,7,1545,33.52
"686",2022-01-20,10664,6671341,3703,465409,1283,110,3453,15,1736,35.76
"687",2022-01-21,10399,6681740,3903,469312,1326,107,3472,19,1951,38.41
"688",2022-01-22,7933,6689673,2618,471930,1340,107,3483,11,1320,34.17
"689",2022-01-23,4763,6694436,1683,473613,1401,111,3498,15,979,36.78
"690",2022-01-24,6790,6701226,2848,476461,1481,113,3514,16,1312,43.36
"691",2022-01-25,9039,6710265,3379,479840,1518,110,3526,12,1737,37.68
"692",2022-01-26,9401,6719666,3250,483090,1571,109,3540,14,1695,34.91
"693",2022-01-27,8732,6728398,3097,486187,1574,107,3552,12,1610,36.38
"694",2022-01-28,8469,6736867,2973,489160,1579,105,3567,15,1474,35.75
"695",2022-01-29,5914,6742781,1835,490995,1551,103,3576,9,1094,32.26
"696",2022-01-30,5077,6747858,1744,492739,1581,103,3593,17,1051,35.47
"697",2022-01-31,5047,6752905,2029,494768,1656,111,3609,16,936,40.52
"698",2022-02-01,7684,6760589,3048,497816,1669,107,3621,12,1405,40.23
"699",2022-02-02,7370,6767959,2497,500313,1649,114,3637,16,1324,34.52
"700",2022-02-03,6273,6774232,2107,502420,1642,122,3655,18,1167,34.08
"701",2022-02-04,6442,6780674,2031,504451,1624,122,3667,12,1001,32.07
"702",2022-02-05,4792,6785466,1387,505838,1574,117,3681,14,841,29.82
"703",2022-02-06,3592,6789058,1120,506958,1613,119,3695,14,643,32.54
"704",2022-02-07,4291,6793349,1557,508515,1678,129,3704,9,718,36.68
"705",2022-02-08,5782,6799131,1813,510328,1662,134,3717,13,833,32.13
"706",2022-02-09,5003,6804134,1473,511801,1637,128,3735,18,744,29.46
"707",2022-02-10,4792,6808926,1410,513211,1604,127,3752,17,767,30.32
"708",2022-02-11,4347,6813273,1104,514315,1593,119,3765,13,575,25.12
"709",2022-02-12,3472,6816745,853,515168,1552,123,3779,14,425,25.03
"710",2022-02-13,2448,6819193,630,515798,1563,123,3791,12,321,27.08
"711",2022-02-14,2524,6821717,870,516668,1580,124,3799,8,404,34.47
"712",2022-02-15,4141,6825858,1055,517723,1549,122,3818,19,526,24.87
"713",2022-02-16,4079,6829937,969,518692,1528,116,3826,8,531,24.15
"714",2022-02-17,3789,6833726,809,519501,1532,118,3841,15,409,21.88
"715",2022-02-18,3412,6837138,737,520238,1492,121,3848,7,395,22.48
"716",2022-02-19,2579,6839717,471,520709,1427,108,3856,8,231,19.35
"717",2022-02-20,1982,6841699,467,521176,1416,96,3868,12,245,24.57
"718",2022-02-21,2007,6843706,458,521634,1416,94,3877,9,248,24.81
"719",2022-02-22,2790,6846496,752,522386,1399,92,3883,6,340,26.95
"720",2022-02-23,3451,6849947,747,523133,1379,92,3894,11,486,21.96
"721",2022-02-24,3178,6853125,663,523796,1323,88,3901,7,445,21.15
"722",2022-02-25,3116,6856241,604,524400,1311,77,3913,12,395,19.06
"723",2022-02-26,2458,6858699,465,524865,1250,76,3922,9,341,19.81
"724",2022-02-27,1840,6860539,378,525243,1257,82,3931,9,254,21.03
"725",2022-02-28,2072,6862611,528,525771,1278,82,3938,7,333,25.39
"726",2022-03-01,2942,6865553,554,526325,1262,83,3942,4,386,19.31
"727",2022-03-02,2861,6868414,647,526972,1234,79,3953,11,455,21.85
"728",2022-03-03,2521,6870935,491,527463,1201,76,3961,8,351,19.99
"729",2022-03-04,2458,6873393,427,527890,1182,75,3970,9,277,17.86
"730",2022-03-05,2177,6875570,401,528291,1119,74,3973,3,326,18.93
"731",2022-03-06,1570,6877140,281,528572,1130,76,3981,8,209,19.17
"732",2022-03-07,2210,6879350,476,529048,1136,76,3983,2,293,20.77
"733",2022-03-08,3081,6882431,548,529596,1121,78,3987,4,414,17.98
"734",2022-03-09,3084,6885515,583,530179,1100,78,3995,8,415,20.69
"735",2022-03-10,2537,6888052,475,530654,1087,77,4001,6,325,19.39
"736",2022-03-11,2298,6890350,504,531158,1064,79,4005,4,368,22.41
"737",2022-03-12,2496,6892846,398,531556,1016,77,4010,5,285,16.67
"738",2022-03-13,1981,6894827,441,531997,1012,73,4014,4,336,22.92
"739",2022-03-14,1857,6896684,476,532473,1023,70,4019,5,292,26.12
"740",2022-03-15,3179,6899863,580,533053,1009,69,4023,4,429,18.4
"741",2022-03-16,2743,6902606,574,533627,993,65,4025,2,417,21.33
"742",2022-03-17,2945,6905551,603,534230,994,60,4028,3,415,20.58
"743",2022-03-18,2567,6908118,558,534788,972,57,4035,7,432,22.32
"744",2022-03-19,2419,6910537,481,535269,943,56,4041,6,409,20.38
"745",2022-03-20,1488,6912025,343,535612,966,57,4046,5,297,24.33
"746",2022-03-21,1854,6913879,490,536102,984,55,4055,9,411,27.45
"747",2022-03-22,3206,6917085,774,536876,976,58,4057,2,615,24.64
"748",2022-03-23,3154,6920239,743,537619,960,59,4061,4,597,24.54
"749",2022-03-24,3484,6923723,823,538442,966,51,4063,2,632,23.02
"750",2022-03-25,2759,6926482,693,539135,959,51,4068,5,547,25.48
"751",2022-03-26,2499,6928981,527,539662,933,44,4071,3,451,21.69
"752",2022-03-27,1769,6930750,460,540122,954,46,4075,4,389,27.19
"753",2022-03-28,2196,6932946,576,540698,1005,46,4082,7,446,25.64
"754",2022-03-29,3450,6936396,881,541579,992,47,4087,5,755,25.68
"755",2022-03-30,3447,6939843,869,542448,985,45,4090,3,736,25.59
"756",2022-03-31,3505,6943348,909,543357,962,39,4093,3,811,26.28
"757",2022-04-01,3605,6946953,863,544220,946,40,4097,4,650,24.02
"758",2022-04-02,2805,6949758,670,544890,929,41,4101,4,457,23.99
"759",2022-04-03,1937,6951695,525,545415,960,41,4103,2,211,26.9
"760",2022-04-04,2565,6954260,832,546247,990,44,4104,1,23,32.05
